Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
10 λεπτα,"Μεγαπανου, Αμαλια",12.00,15.00,https://www.protoporia.gr/megapanoy-amalia-10-lepta-metaxeirismeno-2229607009836.html
10 λεπτα και 38 δευτερολεπτα σ αυτον τον παραξενο κοσμο,"Σαφακ, Ελιφ",13.16,18.80,https://www.protoporia.gr/safak-elif-10-lepta-kai-38-deyterolepta-s-ayton-ton-para3eno-kosmo-metaxeirismeno-2226180139141.html
10 μερες που συγκλονισαν τον κοσμο,"Ρηντ, Τζων",6.00,12.45,https://www.protoporia.gr/rhnt-tzwn-10-meres-poy-sygklonisan-ton-kosmo-metaxeirismeno-2225008205037.html
10 ωρες δυτικα,"Γλυκοφρυδης, Γιωργος",13.08,18.69,https://www.protoporia.gr/glykofrydhs-giwrgos-10-wres-dytika-metaxeirismeno-2229601906131.html
100 1 Ερωτησεις για την γατα σας,"Μυγιακης, Λυσανδρος",2.50,10.00,https://www.protoporia.gr/mygiakhs-lysandros-100-1-erwthseis-gia-thn-gata-sas-metaxeirismeno-2229607712019.html
100 BLITZLICHTER AUS SEINEM LEBEN,"HEMINGWAY ,ERNEST",3.00,10.00,https://www.protoporia.gr/hemingway-ernest-100-blitzlichter-aus-seinem-leben-metaxeirismeno-2223404112652.html
100 Ανεκδοτα τραγουδια (Συλλεκτικη εκδοση),"Παπαδοπουλος, Λευτερης",12.50,33.64,https://www.protoporia.gr/papadopoylos-leyterhs-100-anekdota-tragoydia-syllektikh-ekdosh-metaxeirismeno-2229607771849.html
100 ερωτησεις και απαντησεις για την οστεοπορωση και την οστεοπενια,"Knight, Karla",4.26,8.52,https://www.protoporia.gr/alexander-ivy-100-erwthseis-kai-apanthseis-gia-thn-osteoporwsh-kai-thn-osteopenia-metaxeirismeno-2229604571305.html
100 ΠΟΙΗΜΑΤΑ ΣΕ ΣΤΙΧΟΥΣ ΓΙΑ ΤΡΑΓΟΥΔΙΑ Τ.70,"Κατρακης, Ποτης",1.50,,https://www.protoporia.gr/katrakhs-poths-100-poihmata-se-stixoys-gia-tragoydia-t-70-metaxeirismeno-2229606823075.html
100 ΠΟΙΗΜΑΤΑ ΣΕ ΣΤΙΧΟΥΣ ΓΙΑ ΤΡΑΓΟΥΔΙΑ Τ62-,"Κατρακης, Ποτης",1.50,,https://www.protoporia.gr/katrakhs-poths-100-poihmata-se-stixoys-gia-tragoydia-t62-metaxeirismeno-2229603472207.html
100 ΠΟΙΗΜΑΤΑ ΣΕ ΣΤΙΧΟΥΣ ΓΙΑ ΤΡΑΓΟΥΔΙΑ Τ63-,"Κατρακης, Ποτης",1.50,,https://www.protoporia.gr/katrakhs-poths-100-poihmata-se-stixoys-gia-tragoydia-t63-metaxeirismeno-2229603472306.html
100 ΠΟΙΗΜΑΤΑ ΣΕ ΣΤΙΧΟΥΣ ΓΙΑ ΤΡΑΓΟΥΔΙΑ Τ64-,"Κατρακης, Ποτης",1.50,,https://www.protoporia.gr/katrakhs-poths-100-poihmata-se-stixoys-gia-tragoydia-t64-metaxeirismeno-2229603472313.html
100 χρονια ποδοσφαιρο-ΠΑΛΙΟΣ,"Διακογιαννης, Γιαννης",30.40,60.57,https://www.protoporia.gr/diakogiannhs-giannhs-100-xronia-podosfairo-palios-metaxeirismeno-2229608460087.html
1000 Nudes - A History of Erotic Photography from 1839-1939,"Koetzle, Hans-Michael",20.00,,https://www.protoporia.gr/scheid-uwe-1000-nudes-a-history-of-erotic-photography-from-1839-1939-metaxeirismeno-2223822847686.html
1000 μερη που πρεπει να δεις πριν πεθανεις,"Schultz, Patricia",21.90,27.47,https://www.protoporia.gr/schultz-patricia-1000-merh-poy-prepei-na-deis-prin-pe8aneis-metaxeirismeno-2229604361579.html
1001 ταινιες που πρεπει να δειτε,Συλλογικο,15.00,50.17,https://www.protoporia.gr/syllogiko-1001-tainies-poy-prepei-na-deite-metaxeirismeno-2229604370144.html
1001 τροποι για να σωθει ο πλανητης μας,"Βαλελι, Μπερναντετ",8.00,18.44,https://www.protoporia.gr/baleli-mpernantet-1001-tropoi-gia-na-sw8ei-o-planhths-mas-metaxeirismeno-2225602362051.html
101 ελληνικες ταινιες που πρεπει να πεθανεις πριν τις δεις,"Κολιοδημος, Δημητρης",9.73,13.90,https://www.protoporia.gr/koliodhmos-dhmhtrhs-101-ellhnikes-tainies-poy-prepei-na-pe8aneis-prin-tis-deis-metaxeirismeno-2229604368172.html
101 εμπειριες φιλοσοφιας της καθημερινης ζωης,"Ντρουα, Ροζε-Πολ",9.48,18.95,https://www.protoporia.gr/ntroya-roze-pol-101-empeiries-filosofias-ths-ka8hmerinhs-zwhs-metaxeirismeno-2229602746453.html
101 πραγματα που πρεπει να κανεις οσο ζεις,"Horne, Richard",7.14,14.27,https://www.protoporia.gr/horne-richard-101-pragmata-poy-prepei-na-kaneis-oso-zeis-metaxeirismeno-2229603758400.html
101 συμβουλες για την υγεια των παιδιων σας -,,3.00,10.00,https://www.protoporia.gr/-101-symboyles-gia-thn-ygeia-twn-paidiwn-sas-metaxeirismeno-2221000000083.html
11 Σεπτεμβριου 2001 Η τρομακτικη απατη,"Meyssan, Thierry",10.75,15.36,https://www.protoporia.gr/meyssan-thierry-11-septembrioy-2001-h-tromaktikh-apath-metaxeirismeno-2229608281118.html
11/9,"Τσομσκι, Νοαμ",7.70,9.00,https://www.protoporia.gr/tsomski-noam-11-9-metaxeirism-2229603254148.html
115 Ποιηματα -,"Καμινγκς, Εντουαρντ Εσλιν",12.00,,https://www.protoporia.gr/kamingks-entoyarnt-eslin-115-poihmata-metaxeirismeno-2229602103577.html
12 NOPTI DE DRAGOSTE,"Letraz, Jean",1.20,,https://www.protoporia.gr/letraz-jean-12-nopti-de-dragoste-metaxeirismeno-2229739535104.html
12 και 38 γελαστηκες στις 90 μοιρες,"Φωτιαδη - Γουλιτσα, Σελενη",4.20,14.84,https://www.protoporia.gr/fwtiadh-goylitsa-selenh-12-kai-38-gelasthkes-stis-90-moires-metaxeirismeno-2229606041493.html
"12/2008: Οι νεοι, η ελευθερια και το κρατος","Κοντογιωργης, Γιωργος",9.50,19.36,https://www.protoporia.gr/kontogiwrghs-giwrgos-12-2008-oi-neoi-h-eley8eria-kai-to-kratos-metaxeirismeno-2229606882034.html
"120 προτασεις με φετα. Ορεκτικα, κυριως πιατα, επιδορπια","Γκελντης, Γιαννης",8.00,20.90,https://www.protoporia.gr/gkelnths-giannhs-120-protaseis-me-feta-orektika-kyriws-piata-epidorpia-metaxeirismeno-2229603683900.html
125 παιχνιδια για εξυπνα και χαρουμενα μωρα 1-12 μηνων,"Silberg, Jackie",10.00,15.28,https://www.protoporia.gr/silberg-jackie-125-paixnidia-gia-e3ypna-kai-xaroymena-mwra-1-12-mhnwn-metaxeirismeno-2229603643317.html
125 παιχνιδια για εξυπνα και χαρουμενα παιδια 1-3 ετων,"Silberg, Jackie",5.00,15.28,https://www.protoporia.gr/silberg-jackie-125-paixnidia-gia-e3ypna-kai-xaroymena-paidia-1-3-etwn-metaxeirismeno-2229603643324.html
13 Δεκεμβριου 1967,"Στεφανοπουλου, Αλεξανδρα",5.50,12.23,https://www.protoporia.gr/stefanopoyloy-ale3andra-13-dekembrioy-1967-metaxeirismeno-2229607952866.html
13 μερες για να βρεις το δολοφονο,"Giambanco, V. M.",5.50,11.00,https://www.protoporia.gr/giambanco-v-m-13-meres-gia-na-breis-to-dolofono-metaxeirismeno-2229606053717.html
130 χρονια,,40.00,,https://www.protoporia.gr/-130-xronia-metaxeirismeno-2229608647709.html
132 γιαπωνεζικα Χαικου Φ,Συλλογικο,8.00,,https://www.protoporia.gr/syllogiko-132-giapwnezika-xaikoy-metaxeirismenof-2220003360736.html
1492 απο το μεσαιωνα στην αναγεννηση,"Ατταλι, Ζακ",2.50,9.90,https://www.protoporia.gr/attali-zak-1492-apo-to-mesaiwna-sthn-anagennhsh-metaxeirismeno-2229602362950.html
15 Χρονια Θεσσαλικο θεατρο,,17.10,21.36,https://www.protoporia.gr/-15-xronia-8essaliko-8eatro-metaxeirismeno-2220008082190.html
"15,28Τεχνολογια αμαξωματων","Λεγγας, Σωτηρης",9.17,15.28,https://www.protoporia.gr/parikos-giwrgos-15-28texnologia-ama3wmatwn-metaxeirismeno-2229604058790.html
"15,99 Ε","Μπεγκμπεντε, Φρεντερικ",5.00,17.03,https://www.protoporia.gr/mpegkmpente-frenterik-15-99-e-metaxeirismeno-2221602630992.html
"15,99 Ε","Μπεγκμπεντε, Φρεντερικ",6.80,17.03,https://www.protoporia.gr/mpegkmpente-frenterik-15-99-e-metaxeirismeno-2229602630998.html
"1661, την εποχη του Λουδοβικου 14ου","Λεπε, Ντενι",11.00,22.00,https://www.protoporia.gr/zegko-ib-1661-thn-epoxh-toy-loydobikoy-14oy-metaxeirismeno-2229603982201.html
17 ιστοριες απο το δεκαημερο,Βοκακιος,4.40,10.00,https://www.protoporia.gr/bokakios-17-istories-apo-to-dekahmero-metaxeirismeno-2229602355440.html
17 στιγμες της ανοιξης,"Σεμιονοφ, Γιουλιαν",5.00,10.00,https://www.protoporia.gr/semionof-gioylian-17-stigmes-ths-anoi3hs-metaxeirismeno-2220002240954.html
1715 Το τελευταιο φιλι στ Αναπλι,"Παπαδριανου, Κατερινα",11.95,15.21,https://www.protoporia.gr/papadrianoy-katerina-1715-to-teleytaio-fili-st-anapli-metaxeirismeno-2229606781818.html
1821 Ενα εικονογραφημενο ταξιδι προς την ελευθερια,"Βασιλειαδου, Μαρω",10.00,14.35,https://www.protoporia.gr/basileiadoy-marw-1821-ena-eikonografhmeno-ta3idi-pros-thn-eley8eria-metaxeirismeno-2229606533394.html
1821 Η αρχη που δεν ολοκληρωθηκε,"Κακουρη, Αθηνα",6.90,17.70,https://www.protoporia.gr/kakoyrh-a8hna-1821-h-arxh-poy-den-oloklhrw8hke-metaxeirismeno-2229601646068.html
1821 και Απομνημονευματα,Πρακτικα,7.00,10.00,https://www.protoporia.gr/praktika-1821-kai-apomnhmoneymata-metaxeirismeno-2226185154453.html
1821. Απο την επανασταση στο κρατος,Συλλογικο,15.39,21.99,https://www.protoporia.gr/syllogiko-1821-apo-thn-epanastash-sto-kratos-metaxeirismeno-2229604846892.html
1821: The Founding of Modern Greece,"Κακουρη, Αθηνα",3.75,15.00,https://www.protoporia.gr/kakoyrh-a8hna-1821-the-founding-of-modern-greece-metaxeirismeno-2229601689959.html
1821: Η δημιουργια ενος εθνους-κρατους,"Μιχαηλιδης, Ιακωβος Δ.",9.40,18.80,https://www.protoporia.gr/koliopoylos-iwannhs-s-1821-h-dhmioyrgia-enos-e8noys-kratoys-metaxeirismeno-2226180316221.html
1821:Τριπολιτσα - Μεσολογγι,"Βερεμης, Θανος Μ.",7.75,15.50,https://www.protoporia.gr/beremhs-8anos-m-1821-tripolitsa-mesologgi-metaxeirismeno-2226180318393.html
1912 1,"Σασα, Λεοναρντο",3.70,7.45,https://www.protoporia.gr/sasa-leonarnto-1912-1-metaxeirismeno-2229602080496.html
1919-,"Σαμαρακης, Αντωνης",8.00,10.00,https://www.protoporia.gr/samarakhs-antwnhs-1919-metaxeirism-2229600327654.html
1922 - Η χρονια που αλλαξε τον κοσμο,"Rennison, Nick",11.62,16.60,https://www.protoporia.gr/rennison-nick-1922-h-xronia-poy-alla3e-ton-kosmo-metaxeirismeno-2229606535749.html
1922 η μαυρη βιβλος,"Καψης, Γιαννης",17.90,19.96,https://www.protoporia.gr/kapshs-giannhs-p-1922-h-mayrh-biblos-metaxeirismeno-2229602363025.html
1934,"Μοραβια, Αλμπερτο",14.00,,https://www.protoporia.gr/morabia-almperto-1934-metaxeirismeno-2220002560939.html
1941,"Λαμπρον, Μαρκ",9.00,,https://www.protoporia.gr/lampron-mark-1941-metaxeirismeno-2229606009387.html
"1941-1949: ετη αγωνων, θυσιων και αιματος (3 τομοι)","Μπαρμπης, Κωνσταντινος Ν.",34.45,68.90,https://www.protoporia.gr/mparmphs-kwnstantinos-n-1941-1949-eth-agwnwn-8ysiwn-kai-aimatos-3-tomoi-metaxeirismeno-2229605222541.html
1944 Κρισιμη χρονια (2 τομοι),"Ανδρικοπουλος, Γιαννης",40.00,,https://www.protoporia.gr/andrikopoylos-giannhs-1944-krisimh-xronia-2-tomoi-metaxeirismeno-2220007153037.html
1979,"McDermid, Val",12.39,17.70,https://www.protoporia.gr/mcdermid-val-1979-metaxeirismeno-2229606538238.html
1984,"Οργουελ, Τζωρτζ",7.60,15.98,https://www.protoporia.gr/orgoyel-tzwrtz-1984-metaxeirismeno-2229603824686.html
1984,"Οργουελ, Τζωρτζ",7.00,10.00,https://www.protoporia.gr/orgoyel-tzwrtz-1984-metaxeirismeno-2229604109119.html
2 ιστοριες για οσους δεν πιστευουν στον αγιο Βασιλη,"Μαργωμενος, Δημητρης",10.00,16.82,https://www.protoporia.gr/margwmenos-dhmhtrhs-2-istories-gia-osoys-den-pisteyoyn-ston-agio-basilh-metaxeirismeno-2229601616597.html
20 1 ιστοριες,Συλλογικο,10.80,12.00,https://www.protoporia.gr/syllogiko-20-1-istories-metaxeirismeno-2221600329324.html
20 1 ιστοριες,Συλλογικο,8.61,9.57,https://www.protoporia.gr/syllogiko-20-1-istories-metaxeirismeno-2229600315644.html
20 1 ιστοριες,Συλλογικο,7.00,,https://www.protoporia.gr/syllogiko-20-1-istories-metaxeirismeno-2229600329320.html
