Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Ο σκύλος μου ο Ηλίθιος ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φάντε, Τζων",7.50,15.00,https://www.protoporia.gr/fante-tzon-o-skulos-mou-o-ilithios-metaxeirismeno-531040.html
"Είμαι οκέυ, είσαι οκέυ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ","Χάρις, Τόμας",15.00,,https://www.protoporia.gr/xaris-tomas-eimai-okeu-eisai-okeu-metaxeirismeno-404214.html
Ο Λύκος της Στέπας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Έσσε, Χέρμαν",6.90,,https://www.protoporia.gr/esse-xerman-o-lykos-ths-stepas-metaxeirismeno-2229603291266.html
Αρχαίες θρησκείες και χριστιανισμός ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κορδάτος, Γιάννης",16.00,20.00,https://www.protoporia.gr/kordatos-giannis-arxaies-thriskeies-kai-xristianismos-metaxeirismeno-462330.html
Το Τραγούδι του Προφήτη ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Λιντς, Πολ",11.90,17.00,https://www.protoporia.gr/lints-pol-to-tragoudi-tou-profiti-metaxeirismeno-2229600125243.html
Ο μεγάλος μαθητής και ο μικρός δάσκαλος ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Αγγελάκας, Γιάννης",4.50,12.00,https://www.protoporia.gr/aggelakas-giannis-o-megalos-mathitis-kai-o-mikros-daskalos-metaxeirismeno-517628.html
ΓΚΙΑΚ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Παπαμάρκος, Δημοσθένης",6.00,9.20,https://www.protoporia.gr/papamarkos-dimosthenis-gkiak-metaxeirismeno-422821.html
Ο μύθος του φυσιολογικού ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ματέ, Γκαμπόρ",16.76,23.95,https://www.protoporia.gr/mate-gkampor-o-muthos-tou-fusiologikou-metaxeirismeno-633620.html
Ο Μικρός Πρίγκιπας (δεμ.) (ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ),"Εξυπερύ, Αντουάν ντε Σαιντ",3.00,7.50,https://www.protoporia.gr/eksuperu-antouan-nte-saint-o-mikros-prigkipas-dem.-metaxeirismeno-348052.html
"""Ο Άγγλος πρόξενος"" ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ","Μακρής-Στάικος, Πέτρος",25.00,35.00,https://www.protoporia.gr/makris-staikos-petros-o-agglos-proksenos-metaxeirismeno-472412.html
Παράδοξες διηγήσεις ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Chambers, Robert",18.00,,https://www.protoporia.gr/chambers-robert-paradokses-diigiseis-metaxeirismeno-504189.html
Οι κόρες της σελήνης ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Αλχάρθι, Τζόχα",6.50,13.00,https://www.protoporia.gr/alxarthi-tzoxa-oi-kores-tis-selinis-metaxeirismeno-524805.html
Ιστορία της βίας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Λουΐ, Έντουαρ",6.90,13.80,https://www.protoporia.gr/loui-entouar-istoria-tis-vias-metaxeirismeno-505811.html
Το υψηλό αντικείμενο της ιδεολογίας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Zizek, Slavoj",20.00,25.00,https://www.protoporia.gr/zizek-slavoj-to-upsilo-antikeimeno-tis-ideologias-metaxeirismeno-446306.html
